Finals,Golden State Warriors over Cleveland Cavaliers  (4-1),Series Stats
,,
Eastern Conference Finals,Cleveland Cavaliers over Boston Celtics  (4-1),Series Stats
Western Conference Finals,Golden State Warriors over San Antonio Spurs  (4-0),Series Stats
,,
Eastern Conference Semifinals,Boston Celtics over Washington Wizards  (4-3),Series Stats
Eastern Conference Semifinals,Cleveland Cavaliers over Toronto Raptors  (4-0),Series Stats
Western Conference Semifinals,Golden State Warriors over Utah Jazz  (4-0),Series Stats
Western Conference Semifinals,San Antonio Spurs over Houston Rockets  (4-2),Series Stats
,,
Eastern Conference First Round,Boston Celtics over Chicago Bulls  (4-2),Series Stats
Eastern Conference First Round,Cleveland Cavaliers over Indiana Pacers  (4-0),Series Stats
Eastern Conference First Round,Toronto Raptors over Milwaukee Bucks  (4-2),Series Stats
Eastern Conference First Round,Washington Wizards over Atlanta Hawks  (4-2),Series Stats
Western Conference First Round,Golden State Warriors over Portland Trail Blazers  (4-0),Series Stats
Western Conference First Round,Houston Rockets over Oklahoma City Thunder  (4-1),Series Stats
Western Conference First Round,San Antonio Spurs over Memphis Grizzlies  (4-2),Series Stats
Western Conference First Round,Utah Jazz over Los Angeles Clippers  (4-3),Series Stat